company,stand_or_location,profile_url,raw_href,logo_proxy_url,logo_original_url
Esprit Electronics,Stand F9,https://app.swapcard.com/widget/event/hardware-pioneers-max-26/exhibitor/RXhoaWJpdG9yXzIyODEwOTQ=,/widget/event/hardware-pioneers-max-26/exhibitor/RXhoaWJpdG9yXzIyODEwOTQ=,https://img.swapcard.com/?o=webp&u=https%3A%2F%2Fstatic.swapcard.com%2Fpublic%2Fimages%2F101595db350b41fbbda19da2f64928fd.png&q=0.8&m=fit&w=448&h=224,https://static.swapcard.com/public/images/101595db350b41fbbda19da2f64928fd.png
PCBWay,Stand S10,https://app.swapcard.com/widget/event/hardware-pioneers-max-26/exhibitor/RXhoaWJpdG9yXzI0MjYyNTE=,/widget/event/hardware-pioneers-max-26/exhibitor/RXhoaWJpdG9yXzI0MjYyNTE=,https://img.swapcard.com/?o=webp&u=https%3A%2F%2Fstatic.swapcard.com%2Fpublic%2Fimages%2F08061b680d7c434ab6411bcf72358955.png&q=0.8&m=fit&w=448&h=224,https://static.swapcard.com/public/images/08061b680d7c434ab6411bcf72358955.png
Win Source,Stand N5,https://app.swapcard.com/widget/event/hardware-pioneers-max-26/exhibitor/RXhoaWJpdG9yXzIyNTI2OTA=,/widget/event/hardware-pioneers-max-26/exhibitor/RXhoaWJpdG9yXzIyNTI2OTA=,https://img.swapcard.com/?o=webp&u=https%3A%2F%2Fstatic.swapcard.com%2Fpublic%2Fimages%2F556a2029128043ffa2778694ed26da28.png&q=0.8&m=fit&w=448&h=224,https://static.swapcard.com/public/images/556a2029128043ffa2778694ed26da28.png
2J Antennas & Antenova,Stand G2,https://app.swapcard.com/widget/event/hardware-pioneers-max-26/exhibitor/RXhoaWJpdG9yXzIyNTI2MDY=,/widget/event/hardware-pioneers-max-26/exhibitor/RXhoaWJpdG9yXzIyNTI2MDY=,https://img.swapcard.com/?o=webp&u=https%3A%2F%2Fstatic.swapcard.com%2Fpublic%2Fimages%2Fd2cde975000e40e6ba1afcb13d5b70f2.png&q=0.8&m=fit&w=448&h=224,https://static.swapcard.com/public/images/d2cde975000e40e6ba1afcb13d5b70f2.png
3Point1 Developments,Stand D11,https://app.swapcard.com/widget/event/hardware-pioneers-max-26/exhibitor/RXhoaWJpdG9yXzIyNTI2MDQ=,/widget/event/hardware-pioneers-max-26/exhibitor/RXhoaWJpdG9yXzIyNTI2MDQ=,https://img.swapcard.com/?o=webp&u=https%3A%2F%2Fstatic.swapcard.com%2Fpublic%2Fimages%2F7708c088f0684745b231d37ece8749a1.png&q=0.8&m=fit&w=448&h=224,https://static.swapcard.com/public/images/7708c088f0684745b231d37ece8749a1.png
AAV Plastics,Stand A11,https://app.swapcard.com/widget/event/hardware-pioneers-max-26/exhibitor/RXhoaWJpdG9yXzIyNTI2MDU=,/widget/event/hardware-pioneers-max-26/exhibitor/RXhoaWJpdG9yXzIyNTI2MDU=,https://img.swapcard.com/?o=webp&u=https%3A%2F%2Fstatic.swapcard.com%2Fpublic%2Fimages%2F3fb16d1ecf0e4597b09aa71f4dfd93fc.png&q=0.8&m=fit&w=448&h=224,https://static.swapcard.com/public/images/3fb16d1ecf0e4597b09aa71f4dfd93fc.png
Abracon,Stand D6,https://app.swapcard.com/widget/event/hardware-pioneers-max-26/exhibitor/RXhoaWJpdG9yXzIyNTI2MTM=,/widget/event/hardware-pioneers-max-26/exhibitor/RXhoaWJpdG9yXzIyNTI2MTM=,https://img.swapcard.com/?o=webp&u=https%3A%2F%2Fstatic.swapcard.com%2Fpublic%2Fimages%2F455b69f7dcea4e1fbc58a524b07d2946.png&q=0.8&m=fit&w=448&h=224,https://static.swapcard.com/public/images/455b69f7dcea4e1fbc58a524b07d2946.png
Active-PCB,Stand M12,https://app.swapcard.com/widget/event/hardware-pioneers-max-26/exhibitor/RXhoaWJpdG9yXzIyNTI2MTQ=,/widget/event/hardware-pioneers-max-26/exhibitor/RXhoaWJpdG9yXzIyNTI2MTQ=,https://img.swapcard.com/?o=webp&u=https%3A%2F%2Fstatic.swapcard.com%2Fpublic%2Fimages%2F7b8552fbadb140698952cd80e166ee07.png&q=0.8&m=fit&w=448&h=224,https://static.swapcard.com/public/images/7b8552fbadb140698952cd80e166ee07.png
Alif Semiconductor,Stand H6,https://app.swapcard.com/widget/event/hardware-pioneers-max-26/exhibitor/RXhoaWJpdG9yXzI0NzQ1NjI=,/widget/event/hardware-pioneers-max-26/exhibitor/RXhoaWJpdG9yXzI0NzQ1NjI=,https://img.swapcard.com/?o=webp&u=https%3A%2F%2Fstatic.swapcard.com%2Fpublic%2Fimages%2F78db2101e3f1489b96e9a4e084d2d990.png&q=0.8&m=fit&w=448&h=224,https://static.swapcard.com/public/images/78db2101e3f1489b96e9a4e084d2d990.png
Alliot,Stand B10,https://app.swapcard.com/widget/event/hardware-pioneers-max-26/exhibitor/RXhoaWJpdG9yXzIyNTI2MTY=,/widget/event/hardware-pioneers-max-26/exhibitor/RXhoaWJpdG9yXzIyNTI2MTY=,https://img.swapcard.com/?o=webp&u=https%3A%2F%2Fstatic.swapcard.com%2Fpublic%2Fimages%2F7f5b898edad5433799961243ba14d8c8.png&q=0.8&m=fit&w=448&h=224,https://static.swapcard.com/public/images/7f5b898edad5433799961243ba14d8c8.png
