rank,company,stand_or_location,profile_url,website_or_contact,page_title,status,final_score,keyword_score,tfidf_similarity_0_100,relevance,matched_keywords,matched_by_category,text_preview,score_ai_ml,score_embedded_hardware,score_robotics_autonomy,score_software_data,score_career_signal
1,ByteSnap Design,Stand C2,https://app.swapcard.com/widget/event/hardware-pioneers-max-26/exhibitor/RXhoaWJpdG9yXzIyNTI2NTY=,https://www.bytesnap.com,ByteSnap Design,200,150.38,145.849,12.944,High,"ai, cloud, computer vision, data, edge ai, electronics, embedded, embedded systems, firmware, fpga, hardware, iot, linux, ml, pcb, semiconductor, software","ai_ml: ai, computer vision, edge ai, ml; embedded_hardware: electronics, embedded, embedded systems, firmware, fpga, hardware, iot, pcb, semiconductor; software_data: cloud, data, linux, software","ByteSnap Design | Products & services | Team | Information | ByteSnap Design is a UK leading embedded electronics and software design consultancy, delivering robust, no drama design solutions, accelerating time-to-market. | Trusted partner for businesses worldwide since 2008. | *** | Visit ByteSnap Design on stand C2 to see our live edge AI demo: a real-time AI vision system that detects and identifies objects as they pass a camera, with results displayed instantly on screen. | Powered by an Inf",27.615,69.774,0.0,15.755,0.0
2,Astute Electronics,Stand H6,https://app.swapcard.com/widget/event/hardware-pioneers-max-26/exhibitor/RXhoaWJpdG9yXzIyNTI2Mjk=,https://www.astutegroup.com,Astute Electronics,200,37.852,37.7,0.433,Medium,"ai, electronics, iot, semiconductor","ai_ml: ai; embedded_hardware: electronics, iot, semiconductor","Astute Electronics | Products & services | Team | Information | Global authorised distribution, genuine components, and technical advice you can trust. | Astute’s goal is clear: bring more emerging high-potential manufacturers to market and empower engineers to innovate faster, smarter, and with far lower risk. Our design-led approach to authorised electronics distribution harnesses decades of experience across 150 franchised lines in AI compute, sensing & IoT, memory, power, optoelectronics, pa",2.0,26.0,0.0,0.0,0.0
3,Circutor,Stand S5,https://app.swapcard.com/widget/event/hardware-pioneers-max-26/exhibitor/RXhoaWJpdG9yXzI0MDUwMjY=,https://circutor.com/en/,Circutor,200,33.181,31.72,4.173,Medium,"automation, data, embedded, iot, linux, sensors, software","embedded_hardware: embedded, iot, sensors; robotics_autonomy: automation; software_data: data, linux, software","Circutor | Products & services | Team | Information | Our know-how as manufacturers of industrial devices and communications allows us to offer solutions dedicated to datalogging, monitoring, control, data capture and advanced analysis. Generate the maximum added value by connecting all your smart systems. | Tailor-made IoT products | Customizing your industrial device has never been simpler. Create the ideal device for your application or project. | Programmable controllers and industrial autom",0.0,13.0,4.0,9.17,0.0
4,Arrow,Stand L8,https://app.swapcard.com/widget/event/hardware-pioneers-max-26/exhibitor/RXhoaWJpdG9yXzIyNTI2MzA=,https://www.arrow.com,Arrow,200,30.353,29.955,1.136,Medium,"electronics, fpga, mcu","embedded_hardware: electronics, fpga, mcu","Arrow | Sessions | Team | Information | Arrow Electronics (NYSE:ARW) sources and engineers technology solutions for thousands of leading manufacturers and service providers. With 2025 sales of $31 billion, Arrow’s portfolio enables technology across major industries and markets. Learn more at arrow.com. | Social media | Contact details | https://www.arrow.com | USA | How the Cyber Resilience Act influences MCU / SoC / FPGA selection Wednesday, June 10, 2026 10:40 AM to 11:10 PM Conference Theatr",0.0,22.189,0.0,0.0,0.0
5,Avnet Silica,Stand H2,https://app.swapcard.com/widget/event/hardware-pioneers-max-26/exhibitor/RXhoaWJpdG9yXzIyNTI2MzU=,,Avnet Silica,200,29.526,28.295,3.518,Medium,"ai, cloud, edge ai, embedded","ai_ml: ai, edge ai; embedded_hardware: embedded; software_data: cloud","Avnet Silica | Sessions | Team | Information | WE TURN COMPLEX INTO DELIVERABLE | Avnet Silica helps thousands of businesses across EMEA bring secure, intelligent, and connected products to market. If you’re developing a complete edge to cloud concept, working on a new design or facing complex supply chain issues, our experts are here to support you every step of the way, or whenever you need us.Our commitment goes beyond just providing solutions; it's about fostering innovation and driving tang",14.265,5.0,0.0,3.0,0.0
6,Active-PCB,Stand M12,https://app.swapcard.com/widget/event/hardware-pioneers-max-26/exhibitor/RXhoaWJpdG9yXzIyNTI2MTQ=,https://www.active-pcb.com,Active-PCB,200,28.542,28.542,0.0,Medium,"electronics, pcb","embedded_hardware: electronics, pcb","Active-PCB | Team | Information | Active-PCB Solutions is a flexible contract manufacturers with decades of experience in complex PCB assembly, prototyping, box build and electronics testing. Our expertise spans across various industries, including defence, aerospace, communications, and medical sectors, but our commitment to manufacturing electronics with quality and precision extends to all areas. | Social media | Contact details | https://www.active-pcb.com | United Kingdom | EW Elizabeth Web",0.0,21.142,0.0,0.0,0.0
7,Anglia Live,Stand H8,https://app.swapcard.com/widget/event/hardware-pioneers-max-26/exhibitor/RXhoaWJpdG9yXzIzMTQ0NDg=,https://www.anglia-live.com,Anglia Live,200,27.202,26.549,1.867,Medium,"ai, electronics, robotics",ai_ml: ai; embedded_hardware: electronics; robotics_autonomy: robotics,"Anglia Live | Sessions | Team | Information | Anglia Components Plc is the UK’s leading independent authorised distributor of semiconductors, optoelectronics, interconnect, passive and electromechanical components. A signatory of the ADS SC21 programme, the company holds AS9120, ISO9001 & ISO14001 accreditations. | Anglia stocks over 2 billion components from more than 1.3 million product lines in the UK, ready for same-day dispatch. | With anglia-live being our online ordering service, includin",3.17,6.34,11.095,0.0,0.0
8,Axiomtek,Stand B7,https://app.swapcard.com/widget/event/hardware-pioneers-max-26/exhibitor/RXhoaWJpdG9yXzIyNTI2NDE=,https://www.axiomtek.com,Axiomtek,200,26.063,25.149,2.611,Medium,"automation, embedded, embedded systems","embedded_hardware: embedded, embedded systems; robotics_autonomy: automation","Axiomtek | Information | Axiomtek is one of the major design and manufacturing companies in the Industrial PC field with over 30 year experience. Since its establishment in 1990, Axiomtek has successfully gained world wide recognition for its innovative designs and guarantee of total customer satisfaction. | At Axiomtek, we design, manufacture, and support award-winning versatile and modularly designed Single Board Computers, Applied Computing Platforms and Touch Panel Computers, so that custome",0.0,14.925,4.0,0.0,0.0
9,Binder,Stand F11,https://app.swapcard.com/widget/event/hardware-pioneers-max-26/exhibitor/RXhoaWJpdG9yXzIyNTI2NDY=,https://www.binder-connector.com/uk,Binder,200,24.484,24.125,1.026,Low,"automation, pcb, sensor, sensors","embedded_hardware: pcb, sensor, sensors; robotics_autonomy: automation","Binder | Information | binder is a family-owned company shaped by traditional values and is a leading specialist for circular connectors. The group includes the headquarters in Neckarsulm, nine international sales offices, seven production facilities, two system service providers and an innovation and technology centre. Their strengths lie in the development, design and automated manufacturing of standard and customised products. binder produces a wide range of industrial connectors for various ",0.0,12.0,6.34,0.0,0.0
10,Charcroft Electronics,Stand A14,https://app.swapcard.com/widget/event/hardware-pioneers-max-26/exhibitor/RXhoaWJpdG9yXzIzNjQxOTU=,https://www.charcroft.com,Charcroft Electronics,200,23.506,23.339,0.477,Low,"electronics, sensors","embedded_hardware: electronics, sensors","Charcroft Electronics | Products & services | Team | Information | Charcroft Electronics Ltd is a specialist, CECC/BS approved distributor of passive, interconnect, power, magnetics, optoelectronics & electromechanical components. We are also a manufacturer of professional passive components. Charcroft is certified to AS 9120, is JOSCAR accredited, and is approved to BS EN ISO9001:2015 and has over 50 years of experience as an Approved Supplier. | Social media | Contact details | https://www.cha",0.0,17.288,0.0,0.0,0.0
11,C-MAC Electronics Solutions,Stand S1,https://app.swapcard.com/widget/event/hardware-pioneers-max-26/exhibitor/RXhoaWJpdG9yXzI0MjAyMjE=,https://cmac.com/,C-MAC Electronics Solutions,200,23.174,22.939,0.671,Low,"automation, electronics",embedded_hardware: electronics; robotics_autonomy: automation,"C-MAC Electronics Solutions | Products & services | Team | Information | C-MAC Electronics Solutions is an expert EMS provider specializing in custom electronics for reliable applications. We assemble and test complex electronic systems that perform in the most demanding environments. Whether it's in industrial automation, medical technology, Automotive, or aerospace. Our strength lies in delivering tailored solutions, with a strong focus on quality, flexibility, and long-term partnerships. With",0.0,13.288,4.0,0.0,0.0
