company,stand_or_location,stand_code,profile_url,website,page_title,status,final_score,keyword_score,tfidf_similarity_0_100,relevance,matched_keywords,matched_by_category,score_ai_ml,score_embedded_hardware,score_robotics_autonomy,score_software_data,score_career_signal,x,y,zone,text,logo_original_url
Esprit Electronics,Stand F9,F9,https://app.swapcard.com/widget/event/hardware-pioneers-max-26/exhibitor/RXhoaWJpdG9yXzIyODEwOTQ=,https://espritelectronics.com,Esprit Electronics,200,15.159,15.159,0.0,Low,electronics,embedded_hardware: electronics,0.0,11.229,0.0,0.0,0.0,414.5,1226.1,main floor,Esprit Electronics | Stand F9 | Esprit Electronics | Esprit Electronics | Information | Contact details | https://espritelectronics.com | Team | LS Laurie Sigournay Managing Director Esprit Electronics | MS Mike Sprague Senior Account Manager Esprit Electronics | RO Russell Otter Sales Director Esprit Electronics,https://static.swapcard.com/public/images/101595db350b41fbbda19da2f64928fd.png
PCBWay,Stand S10,S10,https://app.swapcard.com/widget/event/hardware-pioneers-max-26/exhibitor/RXhoaWJpdG9yXzI0MjYyNTE=,https://www.pcbway.com/4fr,PCBWay,200,8.711,8.559,0.435,Low,pcb,embedded_hardware: pcb,0.0,6.34,0.0,0.0,0.0,984.6,1486.1,main floor,"PCBWay | Stand S10 | PCBWay | PCBWay | Products & services | Team | Information | PCBWay is a global EMS company specializing in PCB and PCBA production. We offer services from prototyping to mass production, supporting your projects through design, engineering, and manufacturing. With a dedicated team in France and some European EMS partners, we provide tailored value-added services to help bring your innovations to life. | Social media | Contact details | https://www.pcbway.com/4fr | France | Advanced PCB and Assembly Service (in EU or CN) | Mechanical parts - CNC, Injection molding, 3D printing, Metal Sheet | JW Jérôme Wu Head of Operations (EMEA) PCBWay Europe | Pierre Ribeiro Gomes Head of Sales (EMEA) PCBWay Europe",https://static.swapcard.com/public/images/08061b680d7c434ab6411bcf72358955.png
Win Source,Stand N5,N5,https://app.swapcard.com/widget/event/hardware-pioneers-max-26/exhibitor/RXhoaWJpdG9yXzIyNTI2OTA=,https://www.win-source.net,Win Source,200,13.959,13.959,0.0,Low,electronics,embedded_hardware: electronics,0.0,10.34,0.0,0.0,0.0,806.0,1225.4,main floor,"Win Source | Stand N5 | Win Source | Win Source | Information | Since 1999, WIN SOURCE has consistently helped customers quickly and accurately find obsolete, end-of-life, and hard-to-find parts, as well as acquire commonly used parts at competitive prices. Our store features over 1 million obsolete and conventional parts, we are committed to guaranteeing 24-hour lightning delivery and 3-year warranty. WIN SOURCE was ranked 16th in SourceToday's ""Top 50 Electronic Component Distributors in the World"" list in 2024.Our business scope (main services provided)1. Online purchase of electronic components (WIN-SOURCE.NET)2. Search for outdated and in short supply parts3. Acquire excess inventory (sell remaining inventory, send email to karl@win-source.net)4. Alternative solutions5. Technical service support (laboratory testing)Product range：1. Common-used material2. Shortage Components & Hard to find 3. Obsolete & End-of-life Parts | Contact details | https://www.win-source.net | China | Team | Connor Todd Sales Manager, UK Win Source Electronics | EH Enrico Hu Regional Sales Director ltaly & United Kingdom Win Source Electronics | KX Krystal Xiang SENIOR PUBLIC RELATIONS OFFICER Win Source Electronics | Nuoshi Wei Executive Assistant to COO Win Source Electronics | XC Xuefang Cai Chief Operating Officer Win Source Electronics",https://static.swapcard.com/public/images/556a2029128043ffa2778694ed26da28.png
2J Antennas & Antenova,Stand G2,G2,https://app.swapcard.com/widget/event/hardware-pioneers-max-26/exhibitor/RXhoaWJpdG9yXzIyNTI2MDY=,https://www.antenova.com,2J Antennas & Antenova,200,9.461,9.15,0.888,Low,"iot, navigation",embedded_hardware: iot; robotics_autonomy: navigation,0.0,4.0,3.0,0.0,0.0,461.5,1455.6,main floor,"2J Antennas & Antenova | Stand G2 | 2J Antennas & Antenova | 2J Antennas & Antenova | Information | 2J Antennas, a global recognised leader in antenna solutions trusted for delivering advanced technologies to power the connected world. We drive innovation and provide high-quality products and services leveraging cutting-edge technologies to meet the demands of the rapidly involving wireless industry. Our solutions cater to a wide range of including 5G/4G-LTE/Wi-Fi, Iridium Communications, GPS/GNSS/BeiDou frequencies and more serving industries such as Navigation, IoT, Telematics, M2M and beyond. | Antenova, known for its cutting-edge antenna designs and strong commitment to customer service, has been a trusted name in the wireless industry for over 20 years. With expertise in a wide range of applications including 5G/4G-LTE, Wi-Fi, Bluetooth, GPS/GNSS, ISM, UWB among others. Antenova’s global presence and dedication to quality have firmly established it as a market leader in RF modules and antennas. | Social media | Contact details | https://www.antenova.com | United Kingdom | Team | EG Edoardo Genovese Senior Manager - Field Applications Antenova | ED Erik Dankys Sales Director 2J Antennas | JA James Ashcroft Antenna Design Engineer Antenova Limited | MK Martina Klimkova Sales account manager Antenova Limited | MG Milos Gendiar Marketing Manager 2J Antennas",https://static.swapcard.com/public/images/d2cde975000e40e6ba1afcb13d5b70f2.png
3Point1 Developments,Stand D11,D11,https://app.swapcard.com/widget/event/hardware-pioneers-max-26/exhibitor/RXhoaWJpdG9yXzIyNTI2MDQ=,https://3point1.design,3Point1 Developments,200,3.112,3.0,0.319,Low,software,software_data: software,0.0,0.0,0.0,3.0,0.0,283.5,611.5,main floor,"3Point1 Developments | Stand D11 | 3Point1 Developments | 3Point1 Developments | Information | Working with commercial clients, our goal is to deliver complete innovative electronic product design in a simple and efficient way. | Social media | Contact details | https://3point1.design | United Kingdom | Team | JL James Lamb Design Director 3Point1 Developments | JH Jon Hawkins Technical Director 3Point1 Developments | LA Liliana Alexandre Product Designer 3Point1 Developments | PW Peter Wrigley Software Director 3Point1 Developments | SE Steve Entwistle Business Development Manager 3Point1 Developments",https://static.swapcard.com/public/images/7708c088f0684745b231d37ece8749a1.png
AAV Plastics,Stand A11,A11,https://app.swapcard.com/widget/event/hardware-pioneers-max-26/exhibitor/RXhoaWJpdG9yXzIyNTI2MDU=,https://www.aavplastics.com,AAV Plastics,200,0.0,0.0,0.0,No clear match,,,0.0,0.0,0.0,0.0,0.0,70.0,1199.9,main floor,"AAV Plastics | Stand A11 | AAV Plastics | AAV Plastics | Information | At AAV Plastics we aim to be your plastic injection moulding partner, ensuring your parts and supply chain work for you. We offer end-to-end services including part and tooling design, prototyping, on-site tooling manufacture and on-site production in the UK. | Our 35+ years of expertise in plastics means we can help you solve your manufacturing challenges, by providing quality, value, production, assembly and delivery. | Some of our key offerings include: | Design & prototyping support | Low-cost & durable aluminium tooling | Full production scale steel tooling | UK or far-eastern tooling manufacture | On-site toolroom facilities for fast and flexible turnarounds of tooling modifications & maintenance | On-site production facilities for sampling & volume production | Gold-standard quality system | ISO9001:2015 and UL746D certifications | Social media | Contact details | https://www.aavplastics.com | United Kingdom | Products & services | Injection Moulding | Team | JS Joe Shade Engineer AAV Plastics",https://static.swapcard.com/public/images/3fb16d1ecf0e4597b09aa71f4dfd93fc.png
Abracon,Stand D6,D6,https://app.swapcard.com/widget/event/hardware-pioneers-max-26/exhibitor/RXhoaWJpdG9yXzIyNTI2MTM=,https://abracon.com,Abracon,200,2.334,2.0,0.955,Low,data,software_data: data,0.0,0.0,0.0,2.0,0.0,283.2,1153.6,main floor,"Abracon | Stand D6 | Abracon | Abracon | Products & services | Team | Information | Headquartered outside of Austin, Texas, Abracon is a trusted supplier of leading-edge and innovative electronic components including Frequency Control, Timing, Power, Magnetics, RF and Antenna solutions. Servicing world-class companies across the data communication, transportation, industrial, medical, consumer, aerospace, and defense industries, Abracon accelerates customers’ time-to-market by providing unmatched product solutions, technical expertise, and service excellence. | Social media | Contact details | https://abracon.com | USA | Frequency Control & Timing Devices | RF & Antennas | Power & Magnetics | Kevin Lemon Vice President, Global Product & Marketing Abracon | PR Paul Rodger SNR Product Line Manager Abracon | PR Paul Roger Senior Product Line Manager, Frequency Control and Timing abracon | robert Newbold Field Applications Engineer Abracon | SB Sara Bradley Regional Sales Manager UK & France abracon",https://static.swapcard.com/public/images/455b69f7dcea4e1fbc58a524b07d2946.png
Active-PCB,Stand M12,M12,https://app.swapcard.com/widget/event/hardware-pioneers-max-26/exhibitor/RXhoaWJpdG9yXzIyNTI2MTQ=,https://www.active-pcb.com,Active-PCB,200,28.542,28.542,0.0,Medium,"electronics, pcb","embedded_hardware: electronics, pcb",0.0,21.142,0.0,0.0,0.0,715.1,967.4,main floor,"Active-PCB | Stand M12 | Active-PCB | Active-PCB | Team | Information | Active-PCB Solutions is a flexible contract manufacturers with decades of experience in complex PCB assembly, prototyping, box build and electronics testing. Our expertise spans across various industries, including defence, aerospace, communications, and medical sectors, but our commitment to manufacturing electronics with quality and precision extends to all areas. | Social media | Contact details | https://www.active-pcb.com | United Kingdom | EW Elizabeth Webb Business Development Manager Active-PCB Solutions | FA Frances Active-PCB Marketing Manager Active-PCB Solutions | JE Joanne Edwards Senior Account Manager Active-PCB Solutions | Jon Walker Business Development Manager Active-PCB Solutions | JQ Julie Quinn-Sinclair Account Manager Active-PCB Solutions",https://static.swapcard.com/public/images/7b8552fbadb140698952cd80e166ee07.png
Alif Semiconductor,Stand H6,H6,https://app.swapcard.com/widget/event/hardware-pioneers-max-26/exhibitor/RXhoaWJpdG9yXzI0NzQ1NjI=,https://alifsemi.com/,Alif Semiconductor,200,17.449,17.449,0.0,Low,semiconductor,embedded_hardware: semiconductor,0.0,12.925,0.0,0.0,0.0,553.8,637.5,main floor,Alif Semiconductor | Stand H6 | Alif Semiconductor | Alif Semiconductor | Contact details | https://alifsemi.com/ | Team | HF Henrik Flodell Sr. Product Marketing Director Alif Semiconductor | MS Mikko Saarnivala Marketing Director Alif Semiconductor,https://static.swapcard.com/public/images/78db2101e3f1489b96e9a4e084d2d990.png
Alliot,Stand B10,B10,https://app.swapcard.com/widget/event/hardware-pioneers-max-26/exhibitor/RXhoaWJpdG9yXzIyNTI2MTY=,https://www.alliot.co.uk,Alliot,200,19.739,19.589,0.428,Low,"hardware, iot, software","embedded_hardware: hardware, iot; software_data: software",0.0,12.288,0.0,3.0,0.0,152.8,1224.4,main floor,"Alliot | Stand B10 | Alliot | Alliot | Information | We are the UK and Europe’s leading distributor of IoT solutions. We work with a variety of key partners across the globe to bring you the best in LoRaWAN, cellular LPWAN and IoT business solutions. Our team specialise in LPWAN. We pride ourselves on being at the very forefront of the latest IoT developments, supporting the best-in-class hardware, software and services. Our main technology areas include: LoRaWAN®, NB-IoT and CAT-M1 also known as LTE-M. | Contact details | https://www.alliot.co.uk | United Kingdom | Team | CH Craig Herrett Managing Director Alliot Technologies Ltd. | KF Kate Figg Group Marketing Manager Alliot Technologies Ltd | WK Wiktor Kochan Senior Technical Support Engineer Alliot Technologies Ltd.",https://static.swapcard.com/public/images/7f5b898edad5433799961243ba14d8c8.png
