stand_or_location,stand_code,x,y,zone,notes,stand_key
Stand A20,A20,70.0,582.1,main floor,detected from supplied floorplan PNG,Stand A20
Stand A19,A19,70.0,629.0,main floor,detected from supplied floorplan PNG,Stand A19
Stand A18,A18,70.0,676.9,main floor,detected from supplied floorplan PNG,Stand A18
Stand A17,A17,70.0,726.9,main floor,detected from supplied floorplan PNG,Stand A17
Stand A16,A16,70.0,774.7,main floor,detected from supplied floorplan PNG,Stand A16
Stand A15,A15,70.0,821.1,main floor,detected from supplied floorplan PNG,Stand A15
Stand A24,A24,70.0,874.1,main floor,detected from supplied floorplan PNG,Stand A24
Stand A23,A23,70.0,924.2,main floor,detected from supplied floorplan PNG,Stand A23
Stand A22,A22,70.0,962.7,main floor,detected from supplied floorplan PNG,Stand A22
Stand A21,A21,70.0,1010.3,main floor,detected from supplied floorplan PNG,Stand A21
Stand A14,A14,70.0,1061.1,main floor,detected from supplied floorplan PNG,Stand A14
Stand A13,A13,70.0,1106.0,main floor,detected from supplied floorplan PNG,Stand A13
Stand A12,A12,70.0,1152.0,main floor,detected from supplied floorplan PNG,Stand A12
Stand A11,A11,70.0,1199.9,main floor,detected from supplied floorplan PNG,Stand A11
Stand A10,A10,70.0,1246.4,main floor,detected from supplied floorplan PNG,Stand A10
Stand A8,A8,70.0,1293.7,main floor,detected from supplied floorplan PNG,Stand A8
Stand A7,A7,70.0,1344.9,main floor,detected from supplied floorplan PNG,Stand A7
Stand A6,A6,70.0,1393.9,main floor,detected from supplied floorplan PNG,Stand A6
Stand A5,A5,70.0,1441.1,main floor,detected from supplied floorplan PNG,Stand A5
Stand A4,A4,70.0,1488.1,main floor,detected from supplied floorplan PNG,Stand A4
Stand A3,A3,70.0,1536.7,main floor,detected from supplied floorplan PNG,Stand A3
Stand C12,C12,178.4,588.2,main floor,detected from supplied floorplan PNG,Stand C12
Stand B16,B16,152.5,627.4,main floor,detected from supplied floorplan PNG,Stand B16
Stand C11,C11,199.8,627.7,main floor,detected from supplied floorplan PNG,Stand C11
Stand B15,B15,152.7,674.8,main floor,detected from supplied floorplan PNG,Stand B15
Stand C10,C10,199.7,676.0,main floor,detected from supplied floorplan PNG,Stand C10
Stand B14,B14,153.6,726.2,main floor,detected from supplied floorplan PNG,Stand B14
Stand C9,C9,200.1,727.0,main floor,detected from supplied floorplan PNG,Stand C9
Stand B13,B13,152.5,773.6,main floor,detected from supplied floorplan PNG,Stand B13
Stand C13,C13,200.1,774.5,main floor,detected from supplied floorplan PNG,Stand C13
Stand C8,C8,176.3,813.2,main floor,detected from supplied floorplan PNG,Stand C8
Stand B19,B19,152.7,888.7,main floor,detected from supplied floorplan PNG,Stand B19
Stand C16,C16,199.6,890.2,main floor,detected from supplied floorplan PNG,Stand C16
Stand B18,B18,152.7,936.7,main floor,detected from supplied floorplan PNG,Stand B18
Stand C15,C15,200.4,936.7,main floor,detected from supplied floorplan PNG,Stand C15
Stand B17,B17,153.1,984.3,main floor,detected from supplied floorplan PNG,Stand B17
Stand C14,C14,200.1,984.2,main floor,detected from supplied floorplan PNG,Stand C14
Stand B12,B12,152.7,1083.6,main floor,detected from supplied floorplan PNG,Stand B12
Stand C7,C7,199.9,1083.1,main floor,detected from supplied floorplan PNG,Stand C7
Stand B11,B11,153.4,1155.4,main floor,detected from supplied floorplan PNG,Stand B11
Stand C6,C6,199.8,1154.3,main floor,detected from supplied floorplan PNG,Stand C6
Stand B10,B10,152.8,1224.4,main floor,detected from supplied floorplan PNG,Stand B10
Stand C5,C5,199.7,1225.3,main floor,detected from supplied floorplan PNG,Stand C5
Stand B9,B9,153.1,1343.6,main floor,detected from supplied floorplan PNG,Stand B9
Stand C4,C4,199.8,1344.3,main floor,detected from supplied floorplan PNG,Stand C4
Stand B8,B8,153.1,1408.5,main floor,detected from supplied floorplan PNG,Stand B8
Stand C3,C3,199.8,1408.6,main floor,detected from supplied floorplan PNG,Stand C3
Stand B7,B7,152.6,1455.7,main floor,detected from supplied floorplan PNG,Stand B7
Stand C2,C2,199.6,1455.8,main floor,detected from supplied floorplan PNG,Stand C2
Stand B6,B6,153.0,1520.0,main floor,detected from supplied floorplan PNG,Stand B6
Stand C1,C1,200.8,1520.3,main floor,detected from supplied floorplan PNG,Stand C1
Stand D11,D11,283.5,611.5,main floor,detected from supplied floorplan PNG,Stand D11
Stand E10,E10,331.1,637.5,main floor,detected from supplied floorplan PNG,Stand E10
Stand D10,D10,283.7,675.9,main floor,detected from supplied floorplan PNG,Stand D10
Stand D9,D9,283.1,726.2,main floor,detected from supplied floorplan PNG,Stand D9
Stand E9,E9,331.0,727.7,main floor,detected from supplied floorplan PNG,Stand E9
Stand D8,D8,283.3,789.2,main floor,detected from supplied floorplan PNG,Stand D8
Stand E8,E8,330.9,791.2,main floor,detected from supplied floorplan PNG,Stand E8
Stand D13,D13,283.2,895.9,main floor,detected from supplied floorplan PNG,Stand D13
Stand E12,E12,330.2,896.2,main floor,detected from supplied floorplan PNG,Stand E12
Stand D7,D7,283.4,1083.8,main floor,detected from supplied floorplan PNG,Stand D7
Stand E7,E7,330.8,1082.6,main floor,detected from supplied floorplan PNG,Stand E7
Stand D6,D6,283.2,1153.6,main floor,detected from supplied floorplan PNG,Stand D6
Stand E6,E6,330.6,1155.4,main floor,detected from supplied floorplan PNG,Stand E6
Stand D5,D5,283.3,1224.5,main floor,detected from supplied floorplan PNG,Stand D5
Stand E5,E5,331.1,1226.7,main floor,detected from supplied floorplan PNG,Stand E5
Stand D4,D4,284.2,1345.0,main floor,detected from supplied floorplan PNG,Stand D4
Stand E4,E4,330.9,1344.7,main floor,detected from supplied floorplan PNG,Stand E4
Stand D3,D3,283.6,1408.2,main floor,detected from supplied floorplan PNG,Stand D3
Stand E3,E3,332.0,1409.2,main floor,detected from supplied floorplan PNG,Stand E3
Stand D2,D2,283.7,1455.4,main floor,detected from supplied floorplan PNG,Stand D2
Stand E2,E2,331.1,1456.0,main floor,detected from supplied floorplan PNG,Stand E2
Stand D1,D1,283.9,1519.6,main floor,detected from supplied floorplan PNG,Stand D1
Stand E1,E1,331.0,1519.1,main floor,detected from supplied floorplan PNG,Stand E1
Startup Zone,Startup Zone,307.5,984.0,startup zone,manual centre from supplied floorplan PNG,Startup Zone
